Loaded 10000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_single.npz
Loaded 2000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_two_curves.npz
x_train shape torch.Size([8000, 1000, 5]), x_test shape [torch.Size([1000, 1000, 5]), torch.Size([1000, 2000, 5])], y_train shape torch.Size([8000, 1000, 1]), y_test shape [torch.Size([1000, 1000, 1]), torch.Size([1000, 2000, 1])]
Domain range per dimension:  tensor([4.9995503425598145, 4.9999494552612305])
------Parameters------
kmax = 16
n_train = 8000, n_test = 1000
L = 10
Shape of Fourier modes:  (544, 2, 1)
layer_selection = {'grad': False, 'geo': False, 'geointegral': True}
layers = [64, 64, 64, 64, 64, 64]
activation = gelu
geo_activation = softsign
batch_size 8 

In MPCNO_train, ndims =  2
Epoch :  28  Time:  19.386  Rel. Train L2 Loss :  0.0435121748149395  Rel. Test L2 Loss :  {'Default': 0.055849500119686125, 'Two Circles': 0.21882326525449752}  Test L2 Loss :  {'Default': 0.21775580406188966, 'Two Circles': 1.6583485064506531}  inv_L_scale:  [1.0, 1.0]
Epoch :  29  Time:  19.39  Rel. Train L2 Loss :  0.04153248382359743  Rel. Test L2 Loss :  {'Default': 0.04198540456593037, 'Two Circles': 0.2075923836827278}  Test L2 Loss :  {'Default': 0.17081917548179626, 'Two Circles': 1.5830062928199768}  inv_L_scale:  [1.0, 1.0]
Epoch :  30  Time:  19.416  Rel. Train L2 Loss :  0.04181074331514537  Rel. Test L2 Loss :  {'Default': 0.04893479493260384, 'Two Circles': 0.20838204807043076}  Test L2 Loss :  {'Default': 0.1953237161040306, 'Two Circles': 1.5880610313415526}  inv_L_scale:  [1.0, 1.0]
Epoch :  31  Time:  19.368  Rel. Train L2 Loss :  0.0415461745262146  Rel. Test L2 Loss :  {'Default': 0.04122375422716141, 'Two Circles': 0.20577258670330048}  Test L2 Loss :  {'Default': 0.16403175348043442, 'Two Circles': 1.5632545890808105}  inv_L_scale:  [1.0, 1.0]
Epoch :  32  Time:  19.388  Rel. Train L2 Loss :  0.0416397036742419  Rel. Test L2 Loss :  {'Default': 0.04581363640725613, 'Two Circles': 0.20197380673885346}  Test L2 Loss :  {'Default': 0.18038854157924653, 'Two Circles': 1.5245427932739257}  inv_L_scale:  [1.0, 1.0]
Epoch :  33  Time:  19.4  Rel. Train L2 Loss :  0.04074387912265957  Rel. Test L2 Loss :  {'Default': 0.04203902451694012, 'Two Circles': 0.2077107555270195}  Test L2 Loss :  {'Default': 0.1700278489589691, 'Two Circles': 1.5836814551353455}  inv_L_scale:  [1.0, 1.0]
Epoch :  34  Time:  19.385  Rel. Train L2 Loss :  0.040420250967144966  Rel. Test L2 Loss :  {'Default': 0.04365365362167358, 'Two Circles': 0.1926822760105133}  Test L2 Loss :  {'Default': 0.17296973848342895, 'Two Circles': 1.4633846998214721}  inv_L_scale:  [1.0, 1.0]
Epoch :  35  Time:  19.384  Rel. Train L2 Loss :  0.04021242864057422  Rel. Test L2 Loss :  {'Default': 0.04406538727879524, 'Two Circles': 0.19942928171157837}  Test L2 Loss :  {'Default': 0.1736224980354309, 'Two Circles': 1.5135377583503724}  inv_L_scale:  [1.0, 1.0]
Epoch :  36  Time:  19.403  Rel. Train L2 Loss :  0.03963805539160967  Rel. Test L2 Loss :  {'Default': 0.041262458369135856, 'Two Circles': 0.20774236279726027}  Test L2 Loss :  {'Default': 0.16576762568950654, 'Two Circles': 1.579827841281891}  inv_L_scale:  [1.0, 1.0]
Epoch :  37  Time:  19.396  Rel. Train L2 Loss :  0.03989931177906692  Rel. Test L2 Loss :  {'Default': 0.040847589045763015, 'Two Circles': 0.20413725519180298}  Test L2 Loss :  {'Default': 0.16084987246990204, 'Two Circles': 1.5419360971450806}  inv_L_scale:  [1.0, 1.0]
