data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape: (1000, 11271, 6)
y_train.shape: (1000, 11271, 1)
rank:[32, 32, 32, 32]
TuckerGeoGkNO(
  (fc0): Linear(in_features=3, out_features=128, bias=True)
  (sp_convs): ModuleList(
    (0-3): 4 x TuckerGalerkinConv()
  )
  (ws): ModuleList(
    (0-3): 4 x Conv1d(128, 128, kernel_size=(1,), stride=(1,))
  )
  (fc1): Linear(in_features=128, out_features=128, bias=True)
  (fc2): Linear(in_features=128, out_features=1, bias=True)
)
In GeoFNO_train, ndim =  2
ep: 67  rel.train: 0.04647068041563034  rel.test: 0.04373989522457123  abs.test: 0.03613423705101013  time: 3.131074905395508
ep: 68  rel.train: 0.04803251451253891  rel.test: 0.04731770843267441  abs.test: 0.039109887182712556  time: 3.130129337310791
ep: 69  rel.train: 0.046777447521686555  rel.test: 0.04411122888326645  abs.test: 0.036437448561191556  time: 3.130903482437134
ep: 70  rel.train: 0.04642100858688354  rel.test: 0.05332140266895294  abs.test: 0.044047812521457674  time: 3.1289594173431396
ep: 71  rel.train: 0.04878865802288056  rel.test: 0.04434903234243393  abs.test: 0.03663820743560791  time: 3.1311404705047607
ep: 72  rel.train: 0.048308435916900636  rel.test: 0.04792139202356339  abs.test: 0.039594841599464414  time: 3.1305253505706787
ep: 73  rel.train: 0.04608945721387863  rel.test: 0.04956252664327621  abs.test: 0.040953862071037295  time: 3.1294422149658203
ep: 74  rel.train: 0.04551899230480194  rel.test: 0.05179565817117691  abs.test: 0.042826218903064726  time: 3.130953311920166
ep: 75  rel.train: 0.05009598517417908  rel.test: 0.04640149265527725  abs.test: 0.03835778951644898  time: 3.1302735805511475
ep: 76  rel.train: 0.04689603942632675  rel.test: 0.043826510608196256  abs.test: 0.0361933496594429  time: 3.129664897918701
ep: 77  rel.train: 0.04728358948230743  rel.test: 0.04536147475242615  abs.test: 0.037477143704891205  time: 3.1310369968414307
ep: 78  rel.train: 0.048370702147483825  rel.test: 0.04363494634628296  abs.test: 0.03604587972164154  time: 3.1346237659454346
ep: 79  rel.train: 0.04627061903476715  rel.test: 0.046568467915058136  abs.test: 0.03847379416227341  time: 3.1321306228637695
ep: 80  rel.train: 0.04622565197944641  rel.test: 0.04662210762500763  abs.test: 0.03853754073381424  time: 3.132169246673584
ep: 81  rel.train: 0.04820974099636078  rel.test: 0.04709788829088211  abs.test: 0.03890392929315567  time: 3.132294178009033
