data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape: (1000, 11271, 6)
y_train.shape: (1000, 11271, 1)
TuckerGeoGkNO(
  (fc0): Linear(in_features=3, out_features=128, bias=True)
  (sp_convs): ModuleList(
    (0-3): 4 x TuckerGalerkinConv()
  )
  (ws): ModuleList(
    (0-3): 4 x Conv1d(128, 128, kernel_size=(1,), stride=(1,))
  )
  (fc1): Linear(in_features=128, out_features=128, bias=True)
  (fc2): Linear(in_features=128, out_features=1, bias=True)
)
In GeoFNO_train, ndim =  2
ep: 117  rel.train: 0.028658362865447998  rel.test: 0.03507022768259049  abs.test: 0.028979141116142273  time: 3.160036325454712
ep: 118  rel.train: 0.029195057660341264  rel.test: 0.033681913912296295  abs.test: 0.02785004511475563  time: 3.160346508026123
ep: 119  rel.train: 0.03275526523590088  rel.test: 0.030108491778373717  abs.test: 0.02487716868519783  time: 3.1562533378601074
ep: 120  rel.train: 0.029515798538923263  rel.test: 0.02686785623431206  abs.test: 0.022192229479551316  time: 3.1558175086975098
ep: 121  rel.train: 0.026801700979471207  rel.test: 0.025029665678739547  abs.test: 0.020676618963479994  time: 3.161999464035034
ep: 122  rel.train: 0.031599396347999575  rel.test: 0.026660415679216384  abs.test: 0.022028620839118957  time: 3.1562650203704834
ep: 123  rel.train: 0.028675721347332  rel.test: 0.03136394619941711  abs.test: 0.025912482887506486  time: 3.155858278274536
ep: 124  rel.train: 0.03015288558602333  rel.test: 0.03090848296880722  abs.test: 0.025532156378030777  time: 3.1545846462249756
ep: 125  rel.train: 0.031040046125650405  rel.test: 0.027828207463026045  abs.test: 0.022994413524866104  time: 3.156560182571411
ep: 126  rel.train: 0.031297920376062396  rel.test: 0.031142919659614562  abs.test: 0.02575103357434273  time: 3.160651445388794
ep: 127  rel.train: 0.029315081030130388  rel.test: 0.028198440074920655  abs.test: 0.023301038444042205  time: 3.1605618000030518
ep: 128  rel.train: 0.027701552361249923  rel.test: 0.030315513610839843  abs.test: 0.025037960559129716  time: 3.159888505935669
ep: 129  rel.train: 0.03062177675962448  rel.test: 0.032027103900909425  abs.test: 0.02647107183933258  time: 3.160621166229248
ep: 130  rel.train: 0.02757171756029129  rel.test: 0.02588886260986328  abs.test: 0.021383064836263656  time: 3.157952308654785
ep: 131  rel.train: 0.03172921785712242  rel.test: 0.030617716908454894  abs.test: 0.0253003790974617  time: 3.159891366958618
ep: 132  rel.train: 0.02959070560336113  rel.test: 0.02653673380613327  abs.test: 0.02193111628293991  time: 3.170407772064209
ep: 133  rel.train: 0.02735007879137993  rel.test: 0.02620085284113884  abs.test: 0.021656656414270403  time: 3.165469169616699
ep: 134  rel.train: 0.02723771521449089  rel.test: 0.04001518398523331  abs.test: 0.0330683308839798  time: 3.1669070720672607
ep: 135  rel.train: 0.029283230692148207  rel.test: 0.02679914265871048  abs.test: 0.02214783936738968  time: 3.167834997177124
ep: 136  rel.train: 0.028575432509183884  rel.test: 0.025902595221996307  abs.test: 0.02141987010836601  time: 3.1688568592071533
ep: 137  rel.train: 0.027433384239673616  rel.test: 0.029611807465553284  abs.test: 0.024495434910058976  time: 3.1705684661865234
ep: 138  rel.train: 0.02671412679553032  rel.test: 0.02362491711974144  abs.test: 0.01951387360692024  time: 3.1788392066955566
ep: 139  rel.train: 0.027215341120958327  rel.test: 0.02643960848450661  abs.test: 0.021850019991397858  time: 3.1731040477752686
ep: 140  rel.train: 0.027546127498149872  rel.test: 0.0266749706864357  abs.test: 0.022039840668439864  time: 3.1727945804595947
ep: 141  rel.train: 0.02649155068397522  rel.test: 0.028422177881002427  abs.test: 0.023490101993083955  time: 3.1733174324035645
ep: 142  rel.train: 0.02432357105612755  rel.test: 0.02438614711165428  abs.test: 0.0201459576189518  time: 3.177971363067627
ep: 143  rel.train: 0.027415861219167708  rel.test: 0.03893117040395737  abs.test: 0.03215806186199188  time: 3.189676284790039
ep: 144  rel.train: 0.025178616940975188  rel.test: 0.023791175484657288  abs.test: 0.01964650899171829  time: 3.190978765487671
ep: 145  rel.train: 0.02488686212897301  rel.test: 0.02383008077740669  abs.test: 0.019696262776851655  time: 3.190160036087036
ep: 146  rel.train: 0.03032347196340561  rel.test: 0.029439043402671814  abs.test: 0.02431996017694473  time: 3.189704656600952
ep: 147  rel.train: 0.02716750368475914  rel.test: 0.025391332656145096  abs.test: 0.02097372233867645  time: 3.1914143562316895
ep: 148  rel.train: 0.025828880220651627  rel.test: 0.023076957166194914  abs.test: 0.019074466973543168  time: 3.189188241958618
ep: 149  rel.train: 0.026514498054981232  rel.test: 0.028804789781570434  abs.test: 0.023783347457647323  time: 3.198256015777588
ep: 150  rel.train: 0.024752493768930434  rel.test: 0.022605384737253188  abs.test: 0.01867399364709854  time: 3.1896772384643555
ep: 151  rel.train: 0.024310274064540862  rel.test: 0.02504042163491249  abs.test: 0.02068324074149132  time: 3.190995454788208
ep: 152  rel.train: 0.026403842836618424  rel.test: 0.022478117644786834  abs.test: 0.01856852486729622  time: 3.190019130706787
ep: 153  rel.train: 0.026652790546417237  rel.test: 0.026456212699413298  abs.test: 0.02185941517353058  time: 3.191220283508301
ep: 154  rel.train: 0.02590206554532051  rel.test: 0.026755164861679077  abs.test: 0.022115359902381896  time: 3.1911606788635254
ep: 155  rel.train: 0.024186230272054673  rel.test: 0.02546143874526024  abs.test: 0.021040968298912048  time: 3.197948694229126
ep: 156  rel.train: 0.022572509437799454  rel.test: 0.021164946258068085  abs.test: 0.01749868020415306  time: 3.192094326019287
ep: 157  rel.train: 0.024675535410642623  rel.test: 0.02298423498868942  abs.test: 0.018976916670799256  time: 3.1881818771362305
ep: 158  rel.train: 0.026600012212991714  rel.test: 0.02815482407808304  abs.test: 0.0232714319229126  time: 3.187774658203125
ep: 159  rel.train: 0.025297532379627227  rel.test: 0.03440486699342728  abs.test: 0.02845567911863327  time: 3.188081979751587
ep: 160  rel.train: 0.024784806728363036  rel.test: 0.024522494226694107  abs.test: 0.02027261272072792  time: 3.194395065307617
ep: 161  rel.train: 0.025071212261915207  rel.test: 0.0271014179289341  abs.test: 0.022394818663597108  time: 3.1865286827087402
ep: 162  rel.train: 0.023459197908639907  rel.test: 0.022205339074134828  abs.test: 0.018343612551689148  time: 3.1863865852355957
ep: 163  rel.train: 0.026186153531074525  rel.test: 0.028146465122699738  abs.test: 0.023275847285985946  time: 3.184877634048462
ep: 164  rel.train: 0.024970898777246474  rel.test: 0.02634946793317795  abs.test: 0.02178808405995369  time: 3.184324264526367
ep: 165  rel.train: 0.02377160519361496  rel.test: 0.029948022067546844  abs.test: 0.024736555963754653  time: 3.1835851669311523
ep: 166  rel.train: 0.025442031800746917  rel.test: 0.02225144684314728  abs.test: 0.018395006209611892  time: 3.1903903484344482
ep: 167  rel.train: 0.022734472841024398  rel.test: 0.022296764552593232  abs.test: 0.01842263773083687  time: 3.1832315921783447
ep: 168  rel.train: 0.022919322192668914  rel.test: 0.02263109967112541  abs.test: 0.018691806644201277  time: 3.181546688079834
ep: 169  rel.train: 0.024334257841110228  rel.test: 0.025045512467622755  abs.test: 0.02071170285344124  time: 3.1799490451812744
ep: 170  rel.train: 0.021846899658441544  rel.test: 0.02650446370244026  abs.test: 0.021899010837078094  time: 3.1768462657928467
ep: 171  rel.train: 0.022518779695034026  rel.test: 0.029278097450733186  abs.test: 0.02420738145709038  time: 3.183150053024292
ep: 172  rel.train: 0.025884935706853865  rel.test: 0.02368086814880371  abs.test: 0.019568278789520263  time: 3.1837029457092285
ep: 173  rel.train: 0.02278769674897194  rel.test: 0.029931618869304656  abs.test: 0.02472063735127449  time: 3.1778724193573
ep: 174  rel.train: 0.02250860807299614  rel.test: 0.02167324647307396  abs.test: 0.017900025099515916  time: 3.1754889488220215
ep: 175  rel.train: 0.022536470264196397  rel.test: 0.023782911598682403  abs.test: 0.01966271996498108  time: 3.177523612976074
ep: 176  rel.train: 0.023103778004646303  rel.test: 0.025035101622343063  abs.test: 0.020688130855560302  time: 3.178128242492676
ep: 177  rel.train: 0.022218819379806517  rel.test: 0.0205544114112854  abs.test: 0.016982196867465972  time: 3.1818203926086426
ep: 178  rel.train: 0.023679409563541413  rel.test: 0.02428863078355789  abs.test: 0.020076510161161423  time: 3.1740479469299316
ep: 179  rel.train: 0.02374314135313034  rel.test: 0.022697204500436784  abs.test: 0.01874618053436279  time: 3.174363851547241
ep: 180  rel.train: 0.023376566022634507  rel.test: 0.022022141516208647  abs.test: 0.01819977581501007  time: 3.1833789348602295
ep: 181  rel.train: 0.0222771800160408  rel.test: 0.026337116360664367  abs.test: 0.02177533268928528  time: 3.1770479679107666
ep: 182  rel.train: 0.022797509729862213  rel.test: 0.021422059386968614  abs.test: 0.01768684133887291  time: 3.1750171184539795
ep: 183  rel.train: 0.02049292090535164  rel.test: 0.018894018828868864  abs.test: 0.015617861747741699  time: 3.1828691959381104
ep: 184  rel.train: 0.02097897532582283  rel.test: 0.028660312592983246  abs.test: 0.023689785450696946  time: 3.177175283432007
ep: 185  rel.train: 0.022989136964082717  rel.test: 0.022173741757869722  abs.test: 0.01832036331295967  time: 3.1758506298065186
ep: 186  rel.train: 0.020809869199991227  rel.test: 0.018187109380960464  abs.test: 0.015025676041841508  time: 3.177182674407959
ep: 187  rel.train: 0.021443912357091904  rel.test: 0.022407291829586028  abs.test: 0.018515194207429884  time: 3.1828277111053467
ep: 188  rel.train: 0.021483443796634673  rel.test: 0.0288675394654274  abs.test: 0.023849639892578125  time: 3.1864609718322754
ep: 189  rel.train: 0.022949160665273666  rel.test: 0.01875720962882042  abs.test: 0.01549664795398712  time: 3.17828369140625
ep: 190  rel.train: 0.0210550394654274  rel.test: 0.018336818665266038  abs.test: 0.015149118304252624  time: 3.186324119567871
ep: 191  rel.train: 0.02293092891573906  rel.test: 0.020865065157413484  abs.test: 0.01723430961370468  time: 3.180901527404785
ep: 192  rel.train: 0.02445229336619377  rel.test: 0.025784925520420075  abs.test: 0.021315917074680328  time: 3.1802778244018555
ep: 193  rel.train: 0.0198723461329937  rel.test: 0.018993788212537766  abs.test: 0.015696393400430678  time: 3.18202805519104
ep: 194  rel.train: 0.02306746217608452  rel.test: 0.0216844442486763  abs.test: 0.01791606277227402  time: 3.1917130947113037
ep: 195  rel.train: 0.020536597192287447  rel.test: 0.019271896332502366  abs.test: 0.015927740782499315  time: 3.1851203441619873
ep: 196  rel.train: 0.019416880667209625  rel.test: 0.027928065657615662  abs.test: 0.023080876022577287  time: 3.185769557952881
ep: 197  rel.train: 0.020752367556095122  rel.test: 0.019313993901014327  abs.test: 0.015962608754634858  time: 3.185976266860962
ep: 198  rel.train: 0.017699385911226273  rel.test: 0.018183309882879257  abs.test: 0.015026851445436478  time: 3.1863908767700195
ep: 199  rel.train: 0.019574655026197433  rel.test: 0.018625993579626084  abs.test: 0.015392443388700485  time: 3.1911091804504395
ep: 200  rel.train: 0.019924359440803528  rel.test: 0.018219637125730513  abs.test: 0.015054325833916663  time: 3.19258189201355
ep: 201  rel.train: 0.02129106205701828  rel.test: 0.01837297037243843  abs.test: 0.015177826881408691  time: 3.187084436416626
ep: 202  rel.train: 0.018108101814985275  rel.test: 0.026418046057224275  abs.test: 0.021837285012006758  time: 3.1889069080352783
ep: 203  rel.train: 0.020654937475919722  rel.test: 0.01666583925485611  abs.test: 0.013776459768414497  time: 3.189485549926758
